week_start,region,spend_usd
2024-04-01,West,37676.66
2024-04-01,East,54582.51
2024-04-01,North,28649.58
2024-04-01,South,24353.84
2024-04-08,West,47763.3
2024-04-08,East,44323.37
2024-04-08,North,26975.29
2024-04-08,South,24197.11
2024-04-15,West,40415.42
2024-04-15,East,50188.45
2024-04-15,North,29431.88
2024-04-15,South,29863.41
2024-04-22,West,36448.18
2024-04-22,East,49701.96
2024-04-22,North,33133.28
2024-04-22,South,30963.42
2024-04-29,West,39274.37
2024-04-29,East,52265.49
2024-04-29,North,32701.44
2024-04-29,South,23220.46
2024-05-06,West,46476.98
2024-05-06,East,49164.89
2024-05-06,North,33912.38
2024-05-06,South,29499.14
2024-05-13,West,39288.95
2024-05-13,East,52080.5
2024-05-13,North,32151.17
2024-05-13,South,29065.93
2024-05-20,West,38794.6
2024-05-20,East,53402.12
2024-05-20,North,29089.25
2024-05-20,South,24944.95
2024-05-27,West,47281.12
2024-05-27,East,49326.18
2024-05-27,North,27580.04
2024-05-27,South,29525.95
2024-06-03,West,36035.82
2024-06-03,East,48926.36
2024-06-03,North,33235.9
2024-06-03,South,31048.55
2024-06-10,West,38604.19
2024-06-10,East,42619.09
2024-06-10,North,35333.04
2024-06-10,South,25132.67
2024-06-17,West,39104.81
2024-06-17,East,43128.37
2024-06-17,North,31742.02
2024-06-17,South,26549.08
2024-06-24,West,39900.08
2024-06-24,East,49417.6
2024-06-24,North,29261.43
2024-06-24,South,30033.98
2024-07-01,West,43274.41
2024-07-01,East,42728.12
2024-07-01,North,26874.91
2024-07-01,South,24105.41
2024-07-08,West,47883.96
2024-07-08,East,46581.43
2024-07-08,North,27049.86
2024-07-08,South,26674.26
2024-07-15,West,43108.78
2024-07-15,East,44801.11
2024-07-15,North,26959.77
2024-07-15,South,23070.59
2024-07-22,West,37996.38
2024-07-22,East,51958.19
2024-07-22,North,28844.28
2024-07-22,South,23702.54
2024-07-29,West,38259.68
2024-07-29,East,47253.17
2024-07-29,North,32135.85
2024-07-29,South,29404.32
2024-08-05,West,43083.06
2024-08-05,East,43403.69
2024-08-05,North,30500.95
2024-08-05,South,28644.22
2024-08-12,West,36958.42
2024-08-12,East,46162.23
2024-08-12,North,33069.69
2024-08-12,South,23987.68
2024-08-19,West,41036.76
2024-08-19,East,54491.39
2024-08-19,North,30753.11
2024-08-19,South,24174.27
2024-08-26,West,46448.39
2024-08-26,East,49865.6
2024-08-26,North,30057.37
2024-08-26,South,26053.07
2024-09-02,West,47005.97
2024-09-02,East,42842.89
2024-09-02,North,26586.27
2024-09-02,South,27978.57
2024-09-09,West,37217.87
2024-09-09,East,52444.58
2024-09-09,North,28475.69
2024-09-09,South,22986.53
2024-09-16,West,43172.95
2024-09-16,East,50301.76
2024-09-16,North,34528.04
2024-09-16,South,30259.32
